950,Abyssal Sire,Create a Bludgeon (3 Unsireds completes the task)
950,Abyssal Sire,Create a Bludgeon (3 Unsireds completes the task)
950,Abyssal Sire,Create a Bludgeon (3 Unsireds completes the task)
950,Abyssal Sire,Create a Bludgeon (3 Unsireds completes the task)
315,Abyssal Sire,Obtain 1 Unsired
315,Abyssal Sire,Obtain 1 Unsired
315,Abyssal Sire,Obtain 1 Unsired
2100,Abyssal Sire,Obtain an Abyssal Dagger (Abby Demons is okay)
2100,Abyssal Sire,Obtain an Abyssal Dagger (Abby Demons is okay)
75,Abyssal Sire,3 unique people complete the CA: Perfect Sire
4500,Alchemical Hydra,Obtain a Hydra Claw
4500,Alchemical Hydra,Obtain a Hydra Claw
5200,Alchemical Hydra,Create a Dragon Hunter Lance (Claw + Zammy Spear)
5200,Alchemical Hydra,Create a Dragon Hunter Lance (Claw + Zammy Spear)
5200,Alchemical Hydra,Create a Dragon Hunter Lance (Claw + Zammy Spear)
2400,Alchemical Hydra,Create a Brimstone Ring
2400,Alchemical Hydra,Create a Brimstone Ring
100,Alchemical Hydra,2 unique people complete the CA: No Pressure
100,Alchemical Hydra,2 unique people complete the CA: No Pressure
100,Alchemical Hydra,2 unique people complete the CA: No Pressure
1000,Alchemical Hydra,Fill 3 Hydra collection log slots (dupes count)
1000,Alchemical Hydra,Fill 3 Hydra collection log slots (dupes count)
1000,Alchemical Hydra,Fill 3 Hydra collection log slots (dupes count)
1000,Alchemical Hydra,Fill 3 Hydra collection log slots (dupes count)
1000,Alchemical Hydra,Fill 3 Hydra collection log slots (dupes count)
2350,Alchemical Hydra,Obtain Hydra Leather
2350,Alchemical Hydra,Obtain Hydra Leather
2350,Alchemical Hydra,Obtain Hydra Leather
2350,Alchemical Hydra,Obtain Hydra Leather
2350,Alchemical Hydra,Obtain Hydra Leather
550,Alchemical Hydra,Obtain Light Mystic Top + Bottom
550,Alchemical Hydra,Obtain Light Mystic Top + Bottom
550,Alchemical Hydra,Obtain Light Mystic Top + Bottom
190,Amoxliatl,Obtain Glacial Temotli
190,Amoxliatl,Obtain Glacial Temotli
190,Amoxliatl,Obtain Glacial Temotli
600,Amoxliatl,Obtain 3 Glacial Temotlis
50,Amoxliatl,2 unique people complete the CA: Amoxliatl Speed-Chaser
50,Amoxliatl,2 unique people complete the CA: Amoxliatl Speed-Chaser
2150,Araxxor,Obtain Araxyte Fang
2150,Araxxor,Obtain Araxyte Fang
2150,Araxxor,Obtain Araxyte Fang
2200,Araxxor,Create a Noxious Halberd
2200,Araxxor,Create a Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
750,Araxxor,Obtain 1 piece of the Noxious Halberd
900,Araxxor,Obtain an Araxyte Head
225,Araxxor,2 Unique people complete the CA: Perfect Araxxor 2
225,Araxxor,2 Unique people complete the CA: Perfect Araxxor 2
125,Araxxor,2 Unique people complete the CA: Arachnid Lover
125,Araxxor,2 Unique people complete the CA: Arachnid Lover
450,Barrows,Obtain 5 Barrows Pieces (dupes count)
450,Barrows,Obtain 5 Barrows Pieces (dupes count)
1666,Barrows,Complete 1 full Barrows set
910,Barrows,Obtain 10 Barrows Pieces (dupes count)
910,Barrows,Obtain 10 Barrows Pieces (dupes count)
270,Barrows,Obtain 3 Barrows Pieces
270,Barrows,Obtain 3 Barrows Pieces
270,Barrows,Obtain 3 Barrows Pieces
270,Barrows,Obtain 3 Barrows Pieces
6000,Barrows,Complete the entire Barrows Log
1600,Callisto/Artio,Obtain Claws of Callisto
1600,Callisto/Artio,Obtain Claws of Callisto
2400,Callisto/Artio,Obtain Voidwaker Hilt
2400,Callisto/Artio,Obtain Voidwaker Hilt
